ID ANSSI;Titre ANSSI;Type;Date;CVE;CVSS;Base Severity;CWE;EPSS;Lien;Description;Éditeur;Produit;Version
CERTFR-2024-ALE-008;[MàJ] Vulnérabilité dans les produits Check Point  (30 mai 2024);alerte;Thu, 30 May 2024 00:00:00 +0000;CVE-2024-24919;8.6;High;CWE-200;0.943420000;https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-008/;;;
CERTFR-2024-ALE-009;Vulnérabilité dans OpenSSH (01 juillet 2024);alerte;Mon, 01 Jul 2024 00:00:00 +0000;CVE-2024-6387;8.1;High;CWE-364;0.507890000;https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-009/;;;
CERTFR-2024-ALE-010;Multiples vulnérabilités dans Roundcube (09 août 2024);alerte;Fri, 09 Aug 2024 00:00:00 +0000;CVE-2024-42008;;Inconnu;Non disponible;0.596990000;https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-010/;;;
CERTFR-2024-ALE-010;Multiples vulnérabilités dans Roundcube (09 août 2024);alerte;Fri, 09 Aug 2024 00:00:00 +0000;CVE-2024-42009;;Inconnu;Non disponible;0.904390000;https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-010/;;;
CERTFR-2024-ALE-010;Multiples vulnérabilités dans Roundcube (09 août 2024);alerte;Fri, 09 Aug 2024 00:00:00 +0000;CVE-2024-42010;;Inconnu;Non disponible;0.180530000;https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-010/;;;
CERTFR-2024-ALE-011;Vulnérabilité dans SonicWall (10 septembre 2024);alerte;Tue, 10 Sep 2024 00:00:00 +0000;CVE-2024-40766;;Inconnu;CWE-284;0.070430000;https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-011/;;;
CERTFR-2024-ALE-012;[MàJ] Vulnérabilités affectant OpenPrinting CUPS (27 septembre 2024);alerte;Fri, 27 Sep 2024 00:00:00 +0000;CVE-2024-47176;5.3;Medium;CWE-1327;0.875930000;https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-012/;;;
CERTFR-2024-ALE-012;[MàJ] Vulnérabilités affectant OpenPrinting CUPS (27 septembre 2024);alerte;Fri, 27 Sep 2024 00:00:00 +0000;CVE-2024-47076;8.6;High;CWE-20;0.738750000;https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-012/;;;
CERTFR-2024-ALE-012;[MàJ] Vulnérabilités affectant OpenPrinting CUPS (27 septembre 2024);alerte;Fri, 27 Sep 2024 00:00:00 +0000;CVE-2024-47175;8.6;High;CWE-20;0.315290000;https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-012/;;;
CERTFR-2024-ALE-012;[MàJ] Vulnérabilités affectant OpenPrinting CUPS (27 septembre 2024);alerte;Fri, 27 Sep 2024 00:00:00 +0000;CVE-2024-47177;;Inconnu;Non disponible;;https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-012/;;;
CERTFR-2024-ALE-013;Exploitations de vulnérabilités dans Ivanti Cloud Services Appliance (CSA) (22 octobre 2024);alerte;Tue, 22 Oct 2024 00:00:00 +0000;CVE-2024-8190;7.2;High;CWE-78;0.919350000;https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-013/;;;
CERTFR-2024-ALE-013;Exploitations de vulnérabilités dans Ivanti Cloud Services Appliance (CSA) (22 octobre 2024);alerte;Tue, 22 Oct 2024 00:00:00 +0000;CVE-2024-8963;9.4;Critical;CWE-22;0.942250000;https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-013/;;;
CERTFR-2024-ALE-013;Exploitations de vulnérabilités dans Ivanti Cloud Services Appliance (CSA) (22 octobre 2024);alerte;Tue, 22 Oct 2024 00:00:00 +0000;CVE-2024-9380;7.2;High;CWE-77;0.881440000;https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-013/;;;
CERTFR-2024-ALE-014;[MàJ] Multiples vulnérabilités dans Fortinet FortiManager (23 octobre 2024);alerte;Wed, 23 Oct 2024 00:00:00 +0000;CVE-2024-47575;9.8;Critical;CWE-306;0.938460000;https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-014/;;;
CERTFR-2024-ALE-014;[MàJ] Multiples vulnérabilités dans Fortinet FortiManager (23 octobre 2024);alerte;Wed, 23 Oct 2024 00:00:00 +0000;CVE-2024-50566;7.2;High;CWE-78;0.006440000;https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-014/;;;
CERTFR-2024-ALE-015;[MàJ] Multiples vulnérabilités sur l'interface d'administration des équipements Palo Alto Networks (15 novembre 2024);alerte;Fri, 15 Nov 2024 00:00:00 +0000;CVE-2024-0012;;Inconnu;CWE-306;0.943000000;https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-015/;;;
CERTFR-2024-ALE-015;[MàJ] Multiples vulnérabilités sur l'interface d'administration des équipements Palo Alto Networks (15 novembre 2024);alerte;Fri, 15 Nov 2024 00:00:00 +0000;CVE-2024-9474;;Inconnu;CWE-78;0.941840000;https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-015/;;;
CERTFR-2025-ALE-001;[MàJ] Vulnérabilité dans les produits Ivanti (09 janvier 2025);alerte;Thu, 09 Jan 2025 00:00:00 +0000;CVE-2025-0282;9;Critical;CWE-121;0.941050000;https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-001/;;;
